default_audio,arabe,latin
sound_44.wav,"الفد فعلا خطير","El Fad fi3lan khatir",
sound_45.wav,"أنا عجبوني الجلالب لي لبسو فالعزاء، شكون بحالي","ana 3ejbouni jlaleb li lebssou fl3aza2, chkoun b7ali",
sound_46.wav,"مسخوط عندو شي نويطات واعر","msskhout 3endo chi nwitat wa3er",
sound_47.wav,"مكينش شي حاجة مكتعجبناش، أي حاجة كتنزلها كتعجبنا. واعرة كلماتها، واعرة كتمعني داكشي زوين","makinch chi 7aja makat3jbnach, ayi 7aja katnezelha kat3jbna. Wa3ra kalimatha, wa3ra katme3ni dakchi zwin",
sound_48.wav,"محال واش تكون الشتا غدا","mo7al wach tkoun chta gheda",
sound_49.wav,"إذا عندك شي مشكل، چولها لي","ida 3endek chi mouchkil, goulha li",
sound_50.wav,"زايو كانت مركز للحضارة فالعالم","Zaïo kanet markaz lil 7adara fl3alam",
sound_51.wav,"إلا كثير الإنتاج، طيحو الثمن. فين كاين المشكل ؟","ila ktir l intaj, tiy7o taman. Fin kayn lmouchkil ?",
sound_52.wav,"ماعنديش أدنى أمل في ماتش كوطونو نهار السبت","ma3endich adna amal fmatch Cotonou nhar sebt",
sound_53.wav,"كون كانت هادي فالمغرب، كون قضاو الغرض، مع كين و عطاوه بينالتي","koun kanet hadi flmaghrib, koun 9daw lgharad, m3a kin w 3tawh penalité",
sound_54.wav,"الحسوني أحسن لاعب فالبطولة. مستواه هرب بزاف على اللعابة تاع البطولة","El Hassouni a7ssan la3ab flboutoula. Mousstawah hreb bezaf 3la le3aba ta3 lboutoula",
sound_55.wav,"واش نقدر نشريه من المغرب ؟","wach n9der nchrih men lmghrib ?",
sound_56.wav,"كنحس بحالا كنعرفك شحال هادي","kan7ess b7ala kan3erfek ch7al hadi",
sound_57.wav,"والله تا توحشناك، غبرتي علينا","wlahta twe7echnak, ghberti 3lina",
sound_58.wav,"شحال فعمرك ؟","ch7al f3omrek ?",
sound_59.wav,"ماغاديغها باش نكونو واضحين حمضتيها. كبور و فتيحة لي فيهم شوية ديال الكوميديا","maghadiha bach nkounou wad7in 7amedtiha. Kebour w Fatiha li fihoum chwiya dyal lcomedia",
sound_60.wav,"واش هادوك ضفار ولا مغرفة ؟","wach hadouk dfar ola mghorfa ?",
sound_61.wav,"تبارك الله عليك راك واعر و زوين","tbarkelah 3lik rak wa3er o zwin",
sound_62.wav,"زايو كانت مركز للحضارة فالعالم","Zaïo kanet markaz lil 7adara fl3alam",
sound_63.wav,"لي عطاهم كوفرا خاصو يخرج","li 3tahom kofra khassou ykhrj",
sound_64.wav,"شوفو شحال من واحد عجبو هاد السيد","choufo ch7al men wa7ed 3ejbo had siyed",
sound_65.wav,"top، شكرا على كلامك الزوين","top, chokran 3la klamek zwin",
sound_66.wav,"زايو كانت مركز للحضارة فالعالم","Zaïo kanet markaz lil 7adara fl3alam",
sound_67.wav,"علامن تكذبي ؟ وباز معاكم و ضدكم تنتاقدو نيشان","3lamen tkedbi ? w baz m3akom w dedkom tenta9dou nichan",
sound_68.wav,"ديما غتسمع الأزمة، و هذا كيتسال و الآخر كيتسال و الأزمة لا نهاية لها","dima ghatssme3 l azma, w hada kaytssal o lakhor katssal wl azma la nihata laha",
sound_69.wav,"كون غير أجلو الماتش حتال العشرة ديال الليل","koun ghir ejlo lmatch 7tal l3chra dyal lil",
sound_70.wav,"شحال فعمرك","ch7al f3omrek ?",
sound_71.wav,"حتى ال pilote واعر. الصراحة، أي شخصية كيتقنها !","7ta l pilote wa3er. Sara7a, ayi chakhssiya kayt9nha !",
sound_72.wav,"الحسوني أحسن لاعب فالبطولة. مستواه هارب بزاف على اللعابة تاع البطولة","El Hassouni a7ssan la3ab flboutoula. Mousstawah hareb bezaf 3la le3aba ta3 lboutoula",
sound_73.wav,"إسم أغنية l'intro الخاص بك","issm oghniya t l'intro lkhass bik",
sound_74.wav,"lconfiture السلام أختي، واش يمكن ليا نستعمل العسل بدل","salam akhti, wach imken liya nssta3mel l3ssel badala lconfiture",
sound_75.wav,"خويا واش ممكن النمرة ديالكم ؟","khouya wach momkin nemra dyalkom ?",
sound_76.wav,"فينما نقلب نشوف آسفي، تنلقا واحد ناعس","finma n9leb nchouf Safi, tanl9a wa7ed na3ess",
sound_77.wav,"بهاد المشاكل ديالكم","bhad lmachakil dyalkom",
sound_78.wav,"طريق برشيد سطات، و طريق سطات كاملة ونواحيها ڭاع واعرة وخطر","tri9 berrechid settat, w tri9 settat kamla w nawa7iha ga3 wa3ra w khatar",
sound_79.wav,"الدنيا واعرة بزاف فكرتني فأمي","denya wa3ra bezaf fekertini f omi",
sound_80.wav,"محال واش تكون الشتا غدا","mo7al wach tkoun chta gheda",
sound_81.wav,"كنحس بحالا كنعرفك شحال هادي","kan7ess b7ala kan3erfek ch7al hadi",
sound_82.wav,"ف Youtube و الله يعطيك الصحة، وصفاتك كلهم ناجحة و لذيدة كيف","f Youtube w allah i3tik sa7a, wassafatek kolhom naj7a w ldida kif",
sound_83.wav,"بغيت ناخد كريدي ديال الدار","bghit nakhed credit dyal dar",
sound_84.wav,"خوتي المغاربة دعيو معايا ربي يكمل زواجي بخير please","please khouti lmgharba d3iw m3aya rebi ykemel zwaji bkhir",
sound_85.wav,"خلطتي لي المشاعر بكيت و ضحكت في نفس الوقت. مبدع أ با حسن","kheleti liya lmacha3ir bkit w d7ekt f nefss lw9t. Mobdi3 a ba Hassan",
sound_86.wav,"عجبني الدور ديال غيثة و عنبر، شكون لي معايا فالرأي ديالي ؟","3jebni dawr dyal Ghita w Anbar, chkoun li m3aya f ra2y dyali ?",
sound_87.wav,"و أنا راسي كان دارني كنقول هاد خونا فين شايفاه","w ana rassi kan darni kan9oul had khouna fin chayfah",
sound_88.wav,"واش هادشي بصح ولا كلام الجرائد ؟","wach hadchi bessah ola klam ljara2id",
sound_89.wav,"بغيت ناخد كريدي ديال الدار","bghit nakhed credit dyal dar",
sound_90.wav,"واش هادوك ضفار ولا مغرفة ؟","wach hadouk dfar wla mghorfa ?",
sound_91.wav,"نجربو واش خدام مزيان","njerbou wach khedam mzyan",
sound_92.wav,"قصة واقعية أخطر وأقوى عملية هروب من السجن. دخلو تسمعو","9issa wa9i3iya w a9wa 3amaliyat horoub men sijn. Dekhlou tssem3o",
sound_93.wav,"الفد، فعلا خطير","El Fad, fi3lan khatir",
sound_94.wav,"combat كان عندوا هدف، هو يخرجك دهنيا من ل","kan 3endou hadaf, howa ykherjek dihniyan men l combat",
sound_95.wav,"إلا كان عندك شي مشكل، قولها لي","ila kan 3endek chi mochkil, golha li",
sound_96.wav,"هضرتو بزاف ولكن حاجة وحدة ما قلتوها فيها الفائدة","hdertou bzaf, walakin 7aja w7da ma gltou fiha fayda",
sound_97.wav,"اللي ما كايفهمش كبور هو اللي كايقول باللي حامض","li makayfhemch kebour huwa li kay9oul bli 7amed",
sound_98.wav,"الجنوب ها حنا جاين","ljanoub ha 7na jayin",
sound_99.wav,"تشكيلة ديال هاد المدرب اقسم بالله جا ينتقم من","tchkila dyal had lmodarib o9ssim bilah jay ynta9em men",
sound_100.wav,"ما عنديش الفلوس","ma3endich lflouss",
sound_101.wav,"تشكيلة هاد المدرب اقسم بالله جا ينتقم من الرجاء","tchkila dyal had lmodarib o9ssim bilah jay ynta9em men",
sound_102.wav,"واش هادشي بصح أو كلام الجرائد ؟","wach hadchi bssa7 aw klam ljara2id ?",
sound_103.wav,"كان عندو هدف هو يخرجك دهنيا من لكومبا","kan 3endou hada houwa ikherjek dihniyan men lcombat",
sound_104.wav,"قليل لي غاذي يعقل على هاد الطراك","9lil li ghadi y3qel 3la had track",
sound_105.wav,"فينما تنقلب تنلقى واحد ناعس فٱسفي","finma tan9eleb tanl9a wa7ed na3ess f Safi",
sound_106.wav,"مسخوط عندو شي نويطات واعر","msskhout 3endo chi nwitat wa3er",
sound_107.wav,"السلام عليكم، لباس عليكم ؟ بخير ؟","salam alaykoum, labass 3likoum ? bikhayr ?",
sound_108.wav,"نجربو واش خدام مزيان","njerbou wach khdam mzyan",
sound_109.wav,"واش هادوك ضفار ولا مغرفة ؟","wach hadouk dfar wla mghorfa",
sound_110.wav,"ما عنديش الفلوس","ma3endich lflouss",
sound_111.wav,"براهش، خصكوم تديوها فقرايتكم هي الأولى","brahech, khasskoum tdiwha f 9raytkoum hiya lwla",
sound_112.wav,"هادشي هو آخر حاجة كنت كنتوقع منك أ صاحبي","hadchi houwa akhir 7aja kent kantw9a3 menek a sahbi",
sound_113.wav,"هضرتو بزاف ولكن حاجة وحدة مقلتوها فيها الفائدة","hdertou bzaf, walakin 7aja w7da ma gltou fiha fayda",
sound_114.wav,"الحسوني أحسن لاعب فالبطولة. مستواه هرب بزاف على اللعابة تاع البطولة","El Hassouni a7ssan la3ab flboutoula. Mousstawah hareb bezaf 3la le3aba ta3 lboutoula",
sound_115.wav,"شكون لي كيتفرج و داير الشوفة ديال المحقق كونان يخبط جيم","chkoun li kaytferej w dayr choufa dyal lmo7a9i9 conan yekhbet j'aime",
sound_116.wav,"ماغاديش نمشي للتيران غنمشي للدار من بعد","maghadich nmchi lterrain ghanmchi ldar men be3d",
sound_117.wav,"هاد الأغنية كتعلم الناس ميقربوش","had l oghniya kat3elem nass may9erbouch",
sound_118.wav,"غا باش نكونو واضحين حمضتيها. را كبور و فتيحة لي فيهم شوية ديال الكوميديا","gha bach nkounou wad7in 7amedtiha. ra Kebour w Fatiha li fihoum chwiya dyal lcomedia",
sound_119.wav,"خويا واش ممكن النمرة ديالكم ؟","khouya wach momkin nemra dyalkom ?",
